name,Total_Revenue,Total_Cost,Profit,Margin_Pct
Woman Within Plus Size Petite rhinestone-trim pantset,199.97999572753903,133.98659675005973,65.9933989774793,33.0
Scrunch Cloth Pants Set / Jacket - Regular,207.0,138.27599953114986,68.724000468850136,33.2
Ulla Popken Plus Size 3-Piece Duster and Pants Set,159.0,104.30399932712317,54.696000672876835,34.4
Jostar Short Sleeve Solid Stretchy Capri Pants Set,38.9900016784668,25.538451000626381,13.451550677840416,34.5
NAVY Mens Hawaiian Board Shorts,47.939998626708977,31.160999214515087,16.77899941219389,35.0
Wigwam Unisex Men's/Women's Merino/Silk Scout Quarter Length Sock,49.320001602172852,32.058001151651148,17.262000450521704,35.0
Richer Poorer Men's Matador Cotton Socks,30.510000228881829,19.831500216968358,10.678500011913471,35.0
Kanu Surf Men's Splice Jammers,75.0,48.750000167638063,26.249999832361937,35.0
Orange Line By Hugo Boss Men's Swimwear Shorts Andoya Navy Blue Trunk ST #50180060,138.0,89.700000308454037,48.299999691545963,35.0
Champion High Performance Men's Athletic Ankle Socks Extended Sizes 3-Pack 12-14-White,16.0,10.400000035762789,5.5999999642372114,35.0
Men's Nike Dri-Fit Golf Essential No-Show Socks,11.899999618530273,7.73499977864325,4.1649998398870238,35.0
Robert Graham Men's Corinthian,28.5,18.525000063702464,9.9749999362975359,35.0
Anna-Kaci Small Fit Blue Cats Paws High Waisted Slim Leg Ankle Length Leggings,53.69999885559082,34.904999376162891,18.794999479427929,35.0
DreamSacks BambooDreams Short Knit Robe,176.0,114.40000039339066,61.599999606609344,35.0
Gold Toe Men's Mercerized Cotton English Rib Non Elastic,25.0,16.250000055879354,8.7499999441206455,35.0
Women's Satin Robe with Two Pockets Style#gwm05 Sizes (MLXL2X) Pink Floral Print,35.969999313354492,23.38049963407963,12.589499679274862,35.0
EVAN PICONE Faux Double Breasted Pleated Collar Jacket/Skirt Suit,109.0,70.850000243633986,38.149999756366014,35.0
Men's Electric Guitar Novelty Sock,22.0,14.300000049173832,7.6999999508261681,35.0
STANCE Black Multi-Colored Polka Dot Mens Casual Sock,48.0,31.200000107288361,16.799999892711639,35.0
Soft-Fit Fleece-Lined Women's Leggings,19.989999771118164,12.993499895907938,6.9964998752102261,35.0
Allegra K 2 Pairs Casual Ribbed Soft No Show Loafer Boat Socks White for Men,20.219999313354492,13.14299959887564,7.0769997144788519,35.0
Shiny Metallic Full Leggings Stretchy Footless Silver,38.84999942779541,25.252499714903532,13.597499712891878,35.0
Nautica Men's Anchor Cargo Swim Trunk,198.0,128.70000044256449,69.299999557435513,35.0
Hanes Men's 6 Pack Active Crew Sock,29.8799991607666,19.421999521285294,10.457999639481308,35.0
Ropa Voga Womens Contrast Color Block Joint Slim Legging Pants,81.0,52.650000181049109,28.349999818950891,35.0
Polo Ralph Lauren Men's Pony Logo Dress Socks Black (3 Pack) Sock Size 10-13,53.979999542236328,35.086999823108314,18.892999719128014,35.0
Sock It To Me SUPER HERO! BLUE & YELLOW Mens Crew Socks,12.300000190734863,7.995000151470304,4.3050000392645593,35.0
Minus33 100% Merino Wool Base Layer 807 Women's Expedition Weight Crew Neck Top,192.0,124.80000042915344,67.199999570846558,35.0
Paul Frank Juniors Julius Shower Wrap,20.0,12.980000004172323,7.0199999958276766,35.1
Psychedelic Print Summer Below Knees Capri Short Leggings Stretchy Black S/M,19.899999618530273,12.915099756577609,6.9848998619526643,35.1
Casual Moments Womens 50 Inch Shawl Collar Leopard Wrap,69.0,44.781000014394522,24.218999985605478,35.1
Soho Apparel Girls Seamless Lady Printed Jean Capri Legging SG-SPC06 Nylon Spandex,6.9899997711181641,4.5365098529139161,2.453489918204248,35.1
Nautica Men's Anchor Cruiser Trunk,26.469999313354489,17.179029559889138,9.290969753465351,35.1
Raccoon Two-Piece Hooded Footed Pajamas for Women,29.989999771118164,19.46350985771209,10.526489913406074,35.1
Hurley Men's Puerto Rico Space Phantom Boardshort,194.84999084472656,126.45764409887641,68.392346745850148,35.1
Men's New Liquid Metallic Football Bikini Swimsuit By Gary Majdell Sport,19.969999313354489,12.960529558533132,7.0094697548213567,35.1
WICKING COOL-JAMS 3-PIECE JILLIAN PAJAMA SET FOR TRAVEL AND HOT NIGHTS,198.0,128.50200004130602,69.497999958693981,35.1
Calvin Klein Men's 3 Pack Non Binding Dress Socks,22.0,14.278000004589558,7.7219999954104424,35.1
Nice Shades Plain Ankle Cotton Blend Mens Socks 1 Dozen Pairs. Size 9-11. Many Colors,27.979999542236328,18.15901970874846,9.8209798334878684,35.1
Paul Frank Women's Hoody Sweatshirt With Julius,38.0,24.662000007927418,13.337999992072582,35.1
Florsheim Mens 3-pack Wardrobe Assortment Socks,25.0,16.225000005215406,8.7749999947845936,35.1
Bottoms Out Men's Stripe Swim Short,29.989999771118164,19.46350985771209,10.526489913406074,35.1
TEAL BLOUSE GAUCHO PALAZZO SET ASYM - FITS (ONE SIZE) - L XL 1X - G102S LOTUSTRADERS,57.9900016784668,37.635510885393018,20.354490793073779,35.1
Teal Cove Men's 9 Inch Paneled Pipe Boardshort,152.0,98.648000031709671,53.351999968290329,35.1
Thorlo Mens Dress Crew Sock,16.989999771118164,11.02650985500008,5.9634899161180837,35.1
PACT Men's Signature Multistripe Socks,20.0,12.980000004172325,7.0199999958276749,35.1
Zanerobe Men's Hobie Short,276.0,179.12400005757809,96.875999942421913,35.1
